,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
27,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09
28,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0
29,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09
30,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19
31,1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0
32,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0
33,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0
34,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0
35,1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24
36,1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0
37,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0.0,0.14
38,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1
39,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0
40,1.5168700000000002,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0
41,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12
42,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17
43,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1
44,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0
45,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0
46,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0
47,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0
48,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0
49,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0
50,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0
51,1.5164600000000001,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0
52,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0
53,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24
54,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0
55,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0
56,1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0
57,1.52043,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0
58,1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0
59,1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0
60,1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0
61,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0
62,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0
63,1.5160200000000001,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09
64,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07
65,1.5172700000000001,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0
66,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0
67,1.5165799999999998,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0
68,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0
69,1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0
70,1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0
