,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,type
50,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,2
51,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,2
52,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2
53,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,2
54,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0,2
55,1.5164600000000001,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,2
56,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,2
57,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,2
58,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,2
59,1.5161799999999999,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,2
60,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,2
61,1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,2
62,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2
63,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,2
64,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2
65,1.5174299999999998,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,2
66,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,2
67,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
68,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,2
69,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,2
70,1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,2
71,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,2
72,1.5222200000000001,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2
73,1.5181799999999999,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,2
74,1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2
75,1.52777,12.64,0.0,0.67,72.02,0.06,14.4,0.0,0.0,2
76,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,2
77,1.5184600000000001,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0,2
78,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0,2
79,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2
80,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,2
81,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2
82,1.5170700000000001,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2
83,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,2
84,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2
85,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,2
86,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2
87,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2
88,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,2
89,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,2
90,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2
91,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2
92,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2
93,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2
94,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
95,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
96,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2
97,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2
98,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3
99,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,3
100,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,3
101,1.5212700000000001,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
102,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,3
103,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3
104,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3
105,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,3
106,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3
107,1.5183200000000001,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3
108,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
109,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,5
110,1.5217100000000001,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
111,1.5215100000000001,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5
112,1.5166600000000001,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
113,1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,5
114,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
115,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5
116,1.5205799999999998,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
117,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
118,1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,6
119,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6
120,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,6
121,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6
122,1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6
123,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,6
124,1.5183799999999998,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,7
125,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7
126,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,7
127,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,7
128,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7
129,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,7
130,1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,7
131,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,7
132,1.51531,14.38,0.0,2.66,73.1,0.04,9.08,0.64,0.0,7
133,1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,7
134,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7
135,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7
136,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7
137,1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,7
138,1.51831,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0,7
139,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,7
140,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7
141,1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,7
142,1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,7
